match_code,match_date,player_name,position,champion,kills,deaths,assists,pentakill,first_blood,cs,gold,damage_dealt,tower_damage,healing,damage_taken,vision_score,wards_placed,wards_destroyed,control_wards_purchased
20250718-1,2025-05-19,fleur de peau,,,0,1,9,0,0,13,5738,6713,171,2110,7802,39,16,6,3
20250718-1,2025-05-19,진자림들어,,,9,0,3,0,0,179,10589,10389,1169,13637,19861,17,4,2,0
20250718-1,2025-05-19,man from nowhere,,,7,0,1,0,0,182,9562,14207,2859,3574,7865,12,5,3,0
20250718-1,2025-05-19,krim123456789,,,1,4,1,0,0,131,6396,8836,2063,5577,19610,19,7,2,3
20250718-1,2025-05-19,Pundeng,,,1,1,10,0,0,170,8191,14181,404,2999,7384,18,9,1,2
20250718-1,2025-05-19,Ity369,,,1,4,0,0,0,148,6632,7281,0,1793,10723,15,7,2,0
20250718-1,2025-05-19,Sony A7R V,,,1,5,2,0,0,110,5554,6292,0,2745,19512,11,6,0,2
20250718-1,2025-05-19,상 체 파 괴 자,,,4,3,0,0,0,164,7612,13371,0,3296,13718,10,6,1,1
20250718-1,2025-05-19,shosho ebi,,,0,2,2,0,0,32,4439,2151,0,3575,7341,39,20,4,5
20250718-1,2025-05-19,팔야의 점글러,,,0,4,4,0,0,121,6728,9505,0,13012,22805,20,4,3,2
