match_code,match_date,player_name,position,champion,kills,deaths,assists,pentakill,first_blood,cs,gold,damage_dealt,tower_damage,healing,damage_taken,vision_score,wards_placed,wards_destroyed,control_wards_purchased
20250722-2,2025-05-19,fleur de peau,,,1,8,7,0,0,38,7239,24162,4888,8741,35234,18,10,0,1
20250722-2,2025-05-19,Happier,,,1,8,7,0,0,135,7904,30354,2357,3872,21647,16,10,3,0
20250722-2,2025-05-19,Pundeng,,,9,6,2,0,0,228,11907,13075,1560,2463,29353,25,7,5,8
20250722-2,2025-05-19,shosho ebi,,,1,2,27,0,0,34,9220,19871,0,22067,42972,34,6,7,5
20250722-2,2025-05-19,팔야의 점글러,,,4,6,9,0,0,166,10636,6148,107,1182,19462,7,25,14,6
20250722-2,2025-05-19,Sony A7R V,,,2,7,13,0,0,146,9445,23831,5401,6334,27648,19,11,2,0
20250722-2,2025-05-19,Ity369,,,4,7,10,0,0,174,10552,15374,1253,3664,33552,22,9,4,3
20250722-2,2025-05-19,상 체 파 괴 자,,,7,5,4,0,0,188,12012,32065,3163,22437,33676,67,3,8,3
20250722-2,2025-05-19,진짜힘들어,,,10,2,13,0,0,197,14600,40437,8675,5762,19751,16,11,1,2
20250722-2,2025-05-19,crocaw,,,15,4,5,0,0,224,14042,6686,803,15895,13351,78,38,9,10
