match_code,match_date,player_name,position,champion,kills,deaths,assists,pentakill,first_blood,cs,gold,damage_dealt,tower_damage,healing,damage_taken,vision_score,wards_placed,wards_destroyed,control_wards_purchased
20250719-1,2025-05-19,shosho ebi,,,1,11,6,0,0,35,7083,23942,6102,9354,26662,20,11,0,1
20250719-1,2025-05-19,Happier,,,0,7,6,0,0,173,8564,40881,6319,6177,17009,29,10,4,2
20250719-1,2025-05-19,crocaw,,,16,3,18,0,0,265,18053,16650,2999,4693,23140,24,14,1,3
20250719-1,2025-05-19,Sony A7R V,,,2,4,12,0,0,144,10740,23560,9999,30278,46590,21,3,6,0
20250719-1,2025-05-19,Pundeng,,,9,5,11,0,0,220,15818,19521,503,7048,22401,115,49,16,14
20250719-1,2025-05-19,Ity369,,,11,6,19,0,0,34,11751,14688,0,2013,33179,12,5,1,3
20250719-1,2025-05-19,진자힘들어,,,8,10,1,0,0,186,12201,20069,3414,14991,39444,35,3,9,2
20250719-1,2025-05-19,상 체 파 괴 자,,,4,5,5,0,0,238,12215,23178,2414,2424,22389,26,6,8,0
20250719-1,2025-05-19,fleur de peau,,,5,10,5,0,0,219,12726,36437,0,10,34863,16,10,0,8
20250719-1,2025-05-19,man from nowhere,,,9,4,3,0,0,239,15160,8550,0,639,28979,74,36,9,0
