match_code,team,ban_order,champion
20250524-4,1,1,Unknown
20250524-4,1,2,Unknown
20250524-4,1,3,Unknown
20250524-4,1,4,Unknown
20250524-4,1,5,Unknown
20250524-4,2,1,Unknown
20250524-4,2,2,Unknown
20250524-4,2,3,Unknown
20250524-4,2,4,Unknown
20250524-4,2,5,Unknown
